symbol,age,outcome,r,gross_r,cost_r
RELIANCE.NS,27,zone_not_touched,,,
RELIANCE.NS,0,zone_not_touched,,,
RELIANCE.NS,68,zone_not_touched,,,
RELIANCE.NS,23,SL,-1.7234911651592906,-1.2311030598718338,0.49238810528745686
RELIANCE.NS,1,zone_not_touched,,,
RELIANCE.NS,7,zone_not_touched,,,
RELIANCE.NS,7,zone_not_touched,,,
RELIANCE.NS,0,+1R,0.4706835311625608,1.0,0.5293164688374392
RELIANCE.NS,237,+2R,1.5269502070789955,2.0,0.47304979292100446
RELIANCE.NS,131,SL,-1.7448839017434348,-1.2379465456633008,0.5069373560801339
RELIANCE.NS,0,SL,-1.7976427241838744,-1.2548239680690674,0.5428187561148069
RELIANCE.NS,32,SL,-1.768395031640218,-1.2461478028279924,0.5222472288122254
RELIANCE.NS,4,SL,-1.7782094214145414,-1.2486073005164862,0.5296021208980551
RELIANCE.NS,1,SL,-1.7938458731733173,-1.2536093644188657,0.5402365087544515
RELIANCE.NS,0,SL,-1.8061880942363822,-1.2575576117198721,0.54863048251651
RELIANCE.NS,6,zone_not_touched,,,
TCS.NS,21,BE,0.051850526161315524,0.4541651926539412,0.40231466649262565
TCS.NS,30,data_quality_ambiguous,,,0.43556517621110796
TCS.NS,18,data_quality_ambiguous,,,0.41873138730724413
TCS.NS,14,BE,0.05492025845580312,0.4810533587370062,0.4261331002812031
TCS.NS,223,zone_not_touched,,,
TCS.NS,374,BE,0.04441118825842916,0.3890031088329905,0.34459192057456134
TCS.NS,5,+1R,0.5273883434598536,1.0,0.47261165654014636
INFY.NS,1,data_quality_ambiguous,,,0.4136932981075181
INFY.NS,0,zone_not_touched,,,
INFY.NS,18,+2R,1.6436330396798842,2.0,0.35636696032011594
INFY.NS,25,zone_not_touched,,,
INFY.NS,41,+1R,0.5973738696192248,1.0,0.40262613038077527
INFY.NS,37,+1R,0.6066290091664871,1.0,0.3933709908335129
INFY.NS,83,BE,0.05207171660278476,0.456102627177716,0.40403091057493123
INFY.NS,155,+2R,1.595832062077744,2.0,0.404167937922256
INFY.NS,126,data_quality_ambiguous,,,0.3966087075604246
INFY.NS,446,SL,-1.6240600534065093,-1.1999753849668968,0.4240846684396125
INFY.NS,2,+2R,1.5462181000351927,2.0,0.4537818999648074
INFY.NS,101,BE,0.05212206034756994,0.45654359428501395,0.404421533937444
INFY.NS,0,Neither,-0.8391602925990861,-0.3916756347430111,0.447484657856075
ICICIBANK.NS,7,+1R,0.49494768904999575,1.0,0.5050523109500042
ICICIBANK.NS,55,+1R,0.5324331447328092,1.0,0.4675668552671907
ICICIBANK.NS,0,SL,-1.7940565867408607,-1.2543568735575086,0.5396997131833522
ICICIBANK.NS,1,zone_not_touched,,,
ICICIBANK.NS,44,zone_not_touched,,,
ICICIBANK.NS,2,zone_not_touched,,,
ICICIBANK.NS,4,zone_not_touched,,,
ICICIBANK.NS,0,+1R,0.49449438460854056,1.0,0.5055056153914594
ICICIBANK.NS,44,+1R,0.47521528692421267,1.0,0.5247847130757873
ICICIBANK.NS,21,+2R,1.4488687631890524,2.0,0.5511312368109476
ICICIBANK.NS,75,SL,-1.7589257822594917,-1.242438509999819,0.5164872722596727
ICICIBANK.NS,2,zone_not_touched,,,
ICICIBANK.NS,248,zone_not_touched,,,
ICICIBANK.NS,30,SL,-1.7869526472825097,-1.2514042377742973,0.5355484095082125
ICICIBANK.NS,17,SL,-1.8383926868852976,-1.2685398870394426,0.5698527998458549
SBIN.NS,32,data_quality_ambiguous,,,0.460194122710428
SBIN.NS,24,+2R,1.4981034974541898,2.0,0.5018965025458101
SBIN.NS,14,SL,-1.7520124372485293,-1.2402269472964276,0.5117854899521017
SBIN.NS,3,data_quality_ambiguous,,,0.5144633780880057
SBIN.NS,6,SL,-1.74746462382968,-1.2394522149167535,0.5080124089129265
SBIN.NS,115,+1R,0.47358569485798285,1.0,0.5264143051420171
SBIN.NS,18,+2R,1.5171866285490032,2.0,0.4828133714509969
