symbol,age,outcome,r,gross_r,cost_r
BTC/USDT,0,SL,-1.9564446387394696,-1.3184815462465094,0.6379630924929601
BTC/USDT,46,SL,-1.7945918181779985,-1.264530606059351,0.5300612121186474
BTC/USDT,19,zone_not_touched,,,
BTC/USDT,65,+2R,1.275234290653708,2.0,0.724765709346292
BTC/USDT,9,zone_not_touched,,,
BTC/USDT,2,+2R,1.44145597818738,2.0,0.5585440218126202
BTC/USDT,2,zone_not_touched,,,
BTC/USDT,8,+2R,1.4356062010318602,2.0,0.5643937989681398
BTC/USDT,10,+1R,0.42617340035572016,1.0,0.5738265996442798
BTC/USDT,0,SL,-1.9350406624324434,-1.3120135541441635,0.62302710828828
BTC/USDT,1,+1R,0.4006602486382904,1.0,0.5993397513617096
BTC/USDT,2,zone_not_touched,,,
BTC/USDT,0,zone_not_touched,,,
BTC/USDT,1,zone_not_touched,,,
BTC/USDT,0,zone_not_touched,,,
BTC/USDT,126,+2R,1.4011322790727103,2.0,0.5988677209272897
BTC/USDT,0,zone_not_touched,,,
BTC/USDT,0,SL,-1.9408759891236094,-1.313958663041196,0.6269173260824136
BTC/USDT,0,zone_not_touched,,,
BTC/USDT,38,+2R,1.3516673556399426,2.0,0.6483326443600574
BTC/USDT,9,+2R,1.382984528464936,2.0,0.617015471535064
BTC/USDT,18,zone_not_touched,,,
BTC/USDT,8,zone_not_touched,,,
BTC/USDT,11,zone_not_touched,,,
BTC/USDT,0,zone_not_touched,,,
BTC/USDT,10,zone_not_touched,,,
BTC/USDT,146,zone_not_touched,,,
BTC/USDT,3,zone_not_touched,,,
BTC/USDT,34,SL,-1.9199094294792793,-1.3069698098264046,0.6129396196528746
BTC/USDT,8,+2R,1.5381735702397048,2.0,0.46182642976029514
BTC/USDT,0,data_quality_ambiguous,,,0.3891493273782763
BTC/USDT,6,zone_not_touched,,,
ETH/USDT,29,BE,0.05404424461574753,0.4729918772957795,0.418947632680032
ETH/USDT,68,BE,0.05164913845407021,0.45203005670256946,0.40038091824849925
ETH/USDT,4,SL,-1.861423220973807,-1.2868077403246214,0.5746154806491858
ETH/USDT,25,+1R,0.3910879505370646,1.0,0.6089120494629354
ETH/USDT,22,SL,-1.7193340039676048,-1.240111334655875,0.47922266931172997
ETH/USDT,123,+1R,0.44094739556469975,1.0,0.5590526044353002
ETH/USDT,10,data_quality_ambiguous,,,0.48597009132712593
ETH/USDT,2,+2R,1.5107033453532601,2.0,0.48929665464673977
ETH/USDT,0,zone_not_touched,,,
ETH/USDT,0,SL,-1.8451078209764964,-1.282035940325481,0.5630718806510153
ETH/USDT,35,+1R,0.33693531781556507,1.0,0.6630646821844349
ETH/USDT,14,+1R,0.34346957752592355,1.0,0.6565304224740764
ETH/USDT,0,+2R,1.497717660893713,2.0,0.502282339106287
ETH/USDT,30,+1R,0.41855909623292453,1.0,0.5814409037670755
ETH/USDT,0,+2R,1.4527242753305902,2.0,0.5472757246694097
ETH/USDT,7,zone_not_touched,,,
ETH/USDT,23,zone_not_touched,,,
ETH/USDT,6,SL,-1.9888908919780672,-1.329963630659336,0.6589272613187311
ETH/USDT,27,+1R,0.35894778826712737,1.0,0.6410522117328726
ETH/USDT,19,+2R,1.439648442637556,2.0,0.560351557362444
ETH/USDT,27,data_quality_ambiguous,,,0.36262321215179594
ETH/USDT,7,data_quality_ambiguous,,,0.28401363955652237
ETH/USDT,13,+1R,0.6778745884856161,1.0,0.3221254115143839
ETH/USDT,1,Pending,,,
SOL/USDT,80,SL,-1.656633720930227,-1.2192112403100492,0.4374224806201779
SOL/USDT,10,zone_not_touched,,,
SOL/USDT,17,SL,-1.853651804342786,-1.2848839347808974,0.5687678695618887
SOL/USDT,6,+2R,1.4806977982954497,2.0,0.5193022017045503
SOL/USDT,79,+2R,1.42169521881323,2.0,0.5783047811867701
SOL/USDT,82,data_quality_ambiguous,,,0.5205441485634537
SOL/USDT,393,SL,-1.7551742039068812,-1.2520580679689528,0.5031161359379284
SOL/USDT,0,SL,-1.9006440074327466,-1.3005480024775808,0.6000960049551659
SOL/USDT,18,+2R,1.4244487208512409,2.0,0.5755512791487591
SOL/USDT,66,+1R,0.4365752508361387,1.0,0.5634247491638613
SOL/USDT,16,zone_not_touched,,,
SOL/USDT,4,+1R,0.452840423219082,1.0,0.547159576780918
SOL/USDT,38,+1R,0.5082624364502126,1.0,0.49173756354978737
SOL/USDT,2,+2R,1.48098218584494,2.0,0.5190178141550602
SOL/USDT,8,+2R,1.4647674987762707,2.0,0.5352325012237295
SOL/USDT,141,+2R,1.475112750263463,2.0,0.5248872497365371
